# git_commit=unknown
policy,delta_tag,messages,s_lo,s_hi,total_switches,genuine_escapes,noise_flaps,throughput_mbps,p50_us,p99_us,p99_9_us,latency_us_per_msg
size_only,d=1%,5000,4056,4136,4969,0,0,1741.685,3.0,5.0,22.8,2.2
size_only,d=1%,5000,4056,4136,4969,0,0,1613.353,3.0,8.6,43.7,2.4
size_hysteresis,d=1%,5000,4056,4136,1,1,0,6212.230,1.0,3.0,5.0,0.6
size_hysteresis,d=1%,5000,4056,4136,1,1,0,6244.006,1.0,2.5,6.0,0.6
queue_aware,d=1%,5000,4056,4136,1,1,0,6465.161,1.0,3.0,6.0,0.6
queue_aware,d=1%,5000,4056,4136,1,1,0,6707.160,1.0,2.0,5.0,0.6
cost_aware,d=1%,5000,4056,4136,0,0,0,6276.109,1.0,2.0,3.0,0.6
cost_aware,d=1%,5000,4056,4136,0,0,0,6194.497,1.0,2.0,3.0,0.6
full_adaptive,d=1%,5000,4056,4136,1,1,0,5667.803,1.0,4.0,16.9,0.7
full_adaptive,d=1%,5000,4056,4136,1,1,0,5816.334,1.0,3.0,13.7,0.7
size_only,d=2%,5000,4015,4177,4973,0,0,1644.875,3.0,5.0,10.9,2.4
size_only,d=2%,5000,4015,4177,4973,0,0,1196.768,3.0,15.0,31.0,3.3
size_hysteresis,d=2%,5000,4015,4177,1,1,0,6616.277,1.0,2.0,5.0,0.6
size_hysteresis,d=2%,5000,4015,4177,1,1,0,6831.497,1.0,2.0,6.9,0.6
queue_aware,d=2%,5000,4015,4177,1,1,0,5909.607,1.0,2.0,5.0,0.7
queue_aware,d=2%,5000,4015,4177,1,1,0,6737.237,1.0,2.0,6.0,0.6
cost_aware,d=2%,5000,4015,4177,0,0,0,6192.533,1.0,2.0,2.0,0.6
cost_aware,d=2%,5000,4015,4177,0,0,0,6331.037,1.0,2.0,3.0,0.6
full_adaptive,d=2%,5000,4015,4177,1,1,0,6176.866,1.0,2.0,6.0,0.6
full_adaptive,d=2%,5000,4015,4177,1,1,0,5083.615,1.0,4.0,25.5,0.8
size_only,d=5%,5000,3892,4300,4977,0,0,1808.784,3.0,5.0,7.0,2.2
size_only,d=5%,5000,3892,4300,4977,0,0,1808.952,3.0,6.6,22.9,2.2
size_hysteresis,d=5%,5000,3892,4300,1,1,0,6337.200,1.0,3.0,6.0,0.6
size_hysteresis,d=5%,5000,3892,4300,1,1,0,6488.787,1.0,3.0,7.0,0.6
queue_aware,d=5%,5000,3892,4300,1,1,0,5277.290,1.0,4.0,47.3,0.7
queue_aware,d=5%,5000,3892,4300,1,1,0,6540.941,1.0,2.5,6.0,0.6
cost_aware,d=5%,5000,3892,4300,0,0,0,6465.161,1.0,2.0,4.0,0.6
cost_aware,d=5%,5000,3892,4300,0,0,0,6547.519,1.0,2.0,3.0,0.6
full_adaptive,d=5%,5000,3892,4300,1,1,0,6384.848,1.0,2.0,6.0,0.6
full_adaptive,d=5%,5000,3892,4300,1,1,0,6333.090,1.0,2.0,5.0,0.6
size_only,d=10%,5000,3687,4505,4979,0,0,1828.769,3.0,4.0,5.0,2.1
size_only,d=10%,5000,3687,4505,4979,0,0,1898.634,3.0,4.0,9.9,2.1
size_hysteresis,d=10%,5000,3687,4505,1,1,0,7443.312,1.0,2.0,5.0,0.5
size_hysteresis,d=10%,5000,3687,4505,1,1,0,7406.617,1.0,2.0,6.9,0.5
queue_aware,d=10%,5000,3687,4505,1,1,0,7483.238,0.0,2.0,6.0,0.5
queue_aware,d=10%,5000,3687,4505,1,1,0,7474.646,1.0,2.0,5.0,0.5
cost_aware,d=10%,5000,3687,4505,0,0,0,7434.812,1.0,2.0,2.0,0.5
cost_aware,d=10%,5000,3687,4505,0,0,0,6772.278,1.0,2.0,3.0,0.6
full_adaptive,d=10%,5000,3687,4505,1,1,0,7045.905,1.0,2.0,5.0,0.6
full_adaptive,d=10%,5000,3687,4505,1,1,0,7395.399,1.0,2.0,5.0,0.5
