seq,ts_ns,payload,occ_bytes,current,cost_uds_us,cost_shm_us,queue_wait_shm_us,switch_cost_us,setup_cost_us,health_penalty_us,latency_penalty_us,score_uds_us,score_shm_us,selected,reason
1289,23382691352000,512,133967,SHM,3.77,12.56,12.37,20.00,0.00,0.00,0.00,23.77,12.56,SHM,COST_STABLE
1290,23382691352000,16384,134031,SHM,27.58,12.68,12.38,20.00,0.00,0.00,0.00,47.58,12.68,SHM,COST_STABLE
1291,23382691354000,512,133221,SHM,3.77,11.23,11.06,20.00,0.00,0.00,0.00,23.77,11.23,SHM,COST_STABLE
1292,23382691354000,16384,131657,SHM,27.58,11.41,10.93,20.00,0.00,0.00,0.00,47.58,11.41,SHM,COST_STABLE
1293,23382691356000,512,129301,SHM,3.77,10.09,9.93,20.00,0.00,0.00,0.00,23.77,10.09,SHM,COST_STABLE
1294,23382691356000,16384,127062,SHM,27.58,10.29,9.76,20.00,0.00,0.00,0.00,47.58,10.29,SHM,COST_STABLE
1295,23382691356000,512,124936,SHM,3.77,9.74,9.60,20.00,0.00,0.00,0.00,23.77,9.74,SHM,COST_STABLE
1296,23382691357000,16384,122915,SHM,27.58,12.16,11.69,20.00,0.00,0.00,0.00,47.58,12.16,SHM,COST_STABLE
1297,23382691357000,512,120996,SHM,3.77,11.73,11.51,20.00,0.00,0.00,0.00,23.77,11.73,SHM,COST_STABLE
1298,23382691358000,16384,119173,SHM,27.58,14.42,14.00,20.00,0.00,0.00,0.00,47.58,14.42,SHM,COST_STABLE
1299,23382691359000,512,117415,SHM,3.77,11.72,11.52,20.00,0.00,0.00,0.00,23.77,11.72,SHM,COST_STABLE
1300,23382691359000,16384,115770,SHM,27.58,11.74,11.36,20.00,0.00,0.00,0.00,47.58,11.74,SHM,COST_STABLE
1301,23382691359000,512,114182,SHM,3.77,11.39,11.20,20.00,0.00,0.00,0.00,23.77,11.39,SHM,COST_STABLE
1302,23382691360000,16384,111880,SHM,27.58,10.13,9.79,20.00,0.00,0.00,0.00,47.58,10.13,SHM,COST_STABLE
1303,23382691361000,512,110487,SHM,3.77,12.11,11.95,20.00,0.00,0.00,0.00,23.77,12.11,SHM,COST_STABLE
1304,23382691361000,16384,108370,SHM,27.58,12.03,11.72,20.00,0.00,0.00,0.00,47.58,12.03,SHM,COST_STABLE
1305,23382691361000,512,106332,SHM,3.77,11.65,11.50,20.00,0.00,0.00,0.00,23.77,11.65,SHM,COST_STABLE
1306,23382691362000,16384,104423,SHM,27.58,11.57,11.29,20.00,0.00,0.00,0.00,47.58,11.57,SHM,COST_STABLE
1307,23382691362000,512,102583,SHM,3.77,11.23,11.09,20.00,0.00,0.00,0.00,23.77,11.23,SHM,COST_STABLE
1308,23382691363000,16384,100835,SHM,27.58,13.70,13.45,20.00,0.00,0.00,0.00,47.58,13.70,SHM,COST_STABLE
1309,23382691363000,512,99174,SHM,3.77,13.44,13.22,20.00,0.00,0.00,0.00,23.77,13.44,SHM,COST_STABLE
1310,23382691364000,16384,97597,SHM,27.58,16.25,15.99,20.00,0.00,0.00,0.00,47.58,16.25,SHM,COST_STABLE
1311,23382691364000,512,96072,SHM,3.77,15.96,15.74,20.00,0.00,0.00,0.00,23.77,15.96,SHM,COST_STABLE
1312,23382691365000,16384,94650,SHM,27.58,15.76,15.51,20.00,0.00,0.00,0.00,47.58,15.76,SHM,COST_STABLE
1313,23382691365000,512,93273,SHM,3.77,15.51,15.29,20.00,0.00,0.00,0.00,23.77,15.51,SHM,COST_STABLE
1314,23382691366000,16384,91171,SHM,27.58,11.43,11.17,20.00,0.00,0.00,0.00,47.58,11.43,SHM,COST_STABLE
1315,23382691366000,512,89967,SHM,3.77,11.25,11.03,20.00,0.00,0.00,0.00,23.77,11.25,SHM,COST_STABLE
1316,23382691367000,16384,88031,SHM,27.58,9.23,8.98,20.00,0.00,0.00,0.00,47.58,9.23,SHM,COST_STABLE
1317,23382691367000,512,86165,SHM,3.77,9.01,8.79,20.00,0.00,0.00,0.00,23.77,9.01,SHM,COST_STABLE
1318,23382691368000,16384,84419,SHM,27.58,8.86,8.61,20.00,0.00,0.00,0.00,47.58,8.86,SHM,COST_STABLE
