seq,payload_bytes,ewma_bytes,route,switched
0,512,102.4,UDS,0
1,512,184.3,UDS,0
2,512,249.9,UDS,0
3,512,302.3,UDS,0
4,512,344.2,UDS,0
5,512,377.8,UDS,0
6,512,404.6,UDS,0
7,512,426.1,UDS,0
8,512,443.3,UDS,0
9,512,457.0,UDS,0
10,512,468.0,UDS,0
11,512,476.8,UDS,0
12,512,483.9,UDS,0
13,512,489.5,UDS,0
14,512,494.0,UDS,0
15,512,497.6,UDS,0
16,512,500.5,UDS,0
17,512,502.8,UDS,0
18,512,504.6,UDS,0
19,512,506.1,UDS,0
20,512,507.3,UDS,0
21,512,508.2,UDS,0
22,512,509.0,UDS,0
23,512,509.6,UDS,0
24,512,510.1,UDS,0
25,512,510.5,UDS,0
26,512,510.8,UDS,0
27,512,511.0,UDS,0
28,512,511.2,UDS,0
29,512,511.4,UDS,0
30,512,511.5,UDS,0
31,512,511.6,UDS,0
32,512,511.7,UDS,0
33,512,511.7,UDS,0
34,512,511.8,UDS,0
35,512,511.8,UDS,0
36,512,511.9,UDS,0
37,512,511.9,UDS,0
38,512,511.9,UDS,0
39,512,511.9,UDS,0
40,512,511.9,UDS,0
41,512,512.0,UDS,0
42,512,512.0,UDS,0
43,512,512.0,UDS,0
44,512,512.0,UDS,0
45,512,512.0,UDS,0
46,512,512.0,UDS,0
47,512,512.0,UDS,0
48,512,512.0,UDS,0
49,512,512.0,UDS,0
50,512,512.0,UDS,0
51,512,512.0,UDS,0
52,512,512.0,UDS,0
53,512,512.0,UDS,0
54,512,512.0,UDS,0
55,512,512.0,UDS,0
56,512,512.0,UDS,0
57,512,512.0,UDS,0
58,512,512.0,UDS,0
59,512,512.0,UDS,0
60,512,512.0,UDS,0
61,512,512.0,UDS,0
62,512,512.0,UDS,0
63,512,512.0,UDS,0
64,512,512.0,UDS,0
65,512,512.0,UDS,0
66,512,512.0,UDS,0
67,512,512.0,UDS,0
68,512,512.0,UDS,0
69,512,512.0,UDS,0
70,512,512.0,UDS,0
71,512,512.0,UDS,0
72,512,512.0,UDS,0
